time,msenconds,signal,signal_copy
00:03:02.666557,6.762,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:02.768462,6.864,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:02.867068,6.963,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:02.967258,7.063,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:03.068253,7.164,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:03.168256,7.264,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:03.266975,7.363,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:03.367707,7.464,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:03.469221,7.565,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:03.567986,7.664,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:03.668436,7.764,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:03.768276,7.864,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:03.868476,7.964,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:03.968906,8.065,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:04.069804,8.166,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:04.169537,8.265,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:04.269703,8.366,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:04.370525,8.466,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:04.469527,8.565,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:04.571815,8.668,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:04.668416,8.764,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:04.771389,8.867,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:04.871163,8.967,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:04.970519,9.066,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:05.071620,9.167,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:05.171788,9.268,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:05.270899,9.367,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:05.370662,9.467,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:05.469815,9.566,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:05.571788,9.668,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:05.672103,9.768,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:05.774741,9.871,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:05.873187,9.969,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:05.973556,10.069,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:06.072822,10.169,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:06.171863,10.268,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:06.274190,10.370,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:06.373226,10.469,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:06.473668,10.570,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:06.574140,10.670,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:06.674930,10.771,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:06.776470,10.872,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:06.875145,10.971,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:06.974212,11.070,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:07.074855,11.171,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:07.175549,11.271,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:07.275332,11.371,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:07.377332,11.473,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:07.474745,11.571,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:07.576308,11.672,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:07.677094,11.773,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:07.776065,11.872,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:07.877068,11.973,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:07.978535,12.074,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:08.076733,12.173,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:08.178398,12.274,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:08.280433,12.376,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:08.375900,12.472,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:08.477398,12.573,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:08.577883,12.674,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:08.677927,12.774,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:08.778742,12.875,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:08.878152,12.974,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:08.979349,13.075,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:09.078931,13.175,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:09.177154,13.273,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:09.278654,13.375,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:09.379619,13.475,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:09.479291,13.575,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:09.580532,13.676,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:09.680117,13.776,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
